"Port_Code","Port","Int_Code","Intl_Geography","Group_ID","I_Mode","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","250","France","10",4,126.76,0.62
"42660","Seattle-Tacoma-Bellevue","250","France","10",5,411.03,0.94
"42660","Seattle-Tacoma-Bellevue","250","France","11",3,0.11,1.34613916799999e-03
"42660","Seattle-Tacoma-Bellevue","250","France","11",4,42.10,0.12
"42660","Seattle-Tacoma-Bellevue","250","France","11",5,0.20,2.95760377401047e-03
"42660","Seattle-Tacoma-Bellevue","250","France","12",3,0.63,0.08
"42660","Seattle-Tacoma-Bellevue","250","France","12",4,51.78,0.45
"42660","Seattle-Tacoma-Bellevue","250","France","12",5,15.32,0.16
"42660","Seattle-Tacoma-Bellevue","250","France","13",4,0.02,1.04081568713919e-03
"42660","Seattle-Tacoma-Bellevue","250","France","16",4,74.29,0.02
"42660","Seattle-Tacoma-Bellevue","250","France","16",5,6.619416285e-04,6.59666915e-05
"42660","Seattle-Tacoma-Bellevue","250","France","17",3,0.98,0.07
"42660","Seattle-Tacoma-Bellevue","250","France","17",4,10.05,0.35
"42660","Seattle-Tacoma-Bellevue","250","France","17",5,0.70,0.19
"42660","Seattle-Tacoma-Bellevue","276","Germany","01",3,94.43,37.31
"42660","Seattle-Tacoma-Bellevue","276","Germany","01",4,7.28,0.72
"42660","Seattle-Tacoma-Bellevue","276","Germany","01",5,6.69,2.14
"42660","Seattle-Tacoma-Bellevue","276","Germany","02",3,0.13,5.11
"42660","Seattle-Tacoma-Bellevue","276","Germany","02",4,1.1778346e-03,2.705815749e-03
"42660","Seattle-Tacoma-Bellevue","276","Germany","02",5,0.01,0.03
"42660","Seattle-Tacoma-Bellevue","276","Germany","03",3,0.36,0.02
"42660","Seattle-Tacoma-Bellevue","276","Germany","03",4,0.27,0.05
"42660","Seattle-Tacoma-Bellevue","276","Germany","04",3,17.78,4.78
"42660","Seattle-Tacoma-Bellevue","276","Germany","04",4,83.38,1.21
"42660","Seattle-Tacoma-Bellevue","276","Germany","04",5,4.52,1.15
"42660","Seattle-Tacoma-Bellevue","276","Germany","05",3,9.27,8.59
"42660","Seattle-Tacoma-Bellevue","276","Germany","05",4,0.82,0.12
"42660","Seattle-Tacoma-Bellevue","276","Germany","05",5,0.40,0.39
"42660","Seattle-Tacoma-Bellevue","276","Germany","06",3,1.07,0.06
"42660","Seattle-Tacoma-Bellevue","276","Germany","06",4,6.61,0.24
"42660","Seattle-Tacoma-Bellevue","276","Germany","06",5,0.65,0.07
"42660","Seattle-Tacoma-Bellevue","276","Germany","07",3,7.93,2.34
"42660","Seattle-Tacoma-Bellevue","276","Germany","07",4,7.77,0.31
"42660","Seattle-Tacoma-Bellevue","276","Germany","07",5,1.68,0.67
"42660","Seattle-Tacoma-Bellevue","276","Germany","08",3,96.21,10.88
